PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,Individual ,tickets_sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
8,23,5,3,3,44309,1,0,0,0,1,227,0,0,0,0
8,23,5,3,4,44309,38,0,0,0,38,22823,0,0,0,0
8,23,5,4,4,44309,1,0,0,0,1,227,0,0,0,0
8,23,5,14,14,44309,1,0,0,0,1,155,0,0,0,0
8,23,5,14,15,44309,18,0,0,0,18,16495,0,0,0,0
8,23,5,14,17,44309,40,0,0,0,40,12948,0,0,0,0
8,23,5,15,15,44309,1,0,0,0,1,155,0,0,0,0
8,23,5,16,16,44309,4,0,0,0,4,1773,0,0,0,0
8,23,5,16,17,44309,12,0,0,0,12,13258,0,0,0,0
8,23,5,17,17,44309,4,0,0,0,4,1773,0,0,0,0
8,23,7,9,10,44309,40,0,0,0,40,23278,0,0,0,0
8,23,9,3,3,44309,6,0,0,0,6,4537,0,0,0,0
8,23,9,3,4,44309,28,0,0,0,28,14203,0,0,0,0
8,23,9,4,4,44309,6,0,0,0,6,4537,0,0,0,0
8,23,9,15,16,44309,40,0,0,0,40,23278,0,0,0,0
8,24,7,9,10,44309,40,0,0,0,40,23278,0,0,0,0
8,24,9,3,6,44309,76,0,0,0,76,44890,0,0,0,0
8,24,9,14,14,44309,1,0,0,0,1,918,0,0,0,0
8,24,9,14,15,44309,2,0,0,0,2,1426,0,0,0,0
8,24,9,14,17,44309,72,0,0,0,72,40031,0,0,0,0
8,24,9,15,17,44309,3,0,0,0,3,2755,0,0,0,0
8,24,9,16,17,44309,2,0,0,0,2,1426,0,0,0,0
8,25,7,9,10,44309,34,0,0,0,34,20186,0,0,0,0
8,25,9,3,3,44309,1,0,0,0,1,336,0,0,0,0
8,25,9,3,4,44309,22,0,0,0,22,12639,0,0,0,0
8,25,9,3,6,44309,32,0,0,0,32,19932,0,0,0,0
8,25,9,4,5,44309,2,0,0,0,2,673,0,0,0,0
8,25,9,5,6,44309,22,0,0,0,22,12639,0,0,0,0
8,25,9,6,6,44309,1,0,0,0,1,336,0,0,0,0
8,25,9,15,16,44309,38,0,0,0,38,22445,0,0,0,0
8,26,2,1,2,44309,14,0,0,4,18,6038,0,0,0,2577
8,26,5,3,4,44309,38,0,0,2,40,19532,0,0,0,1250
8,26,9,3,4,44309,0,0,0,0,0,0,0,0,0,0
8,26,9,3,6,44309,0,0,0,0,0,0,0,0,0,0
8,26,9,7,7,44309,0,0,0,1,1,0,0,0,0,420
8,26,11,7,8,44309,0,0,0,0,0,0,0,0,0,0
8,FLR23,AA,7,8,44309,2,0,0,0,2,833,0,0,0,0
8,FLR23,AA,15,18,44309,4,0,0,0,4,1666,0,0,0,0
8,FLR31W,AAW,1,2,44309,2,0,0,0,2,833,0,0,0,0
8,VIP24,5,3,4,44309,40,0,0,0,40,23278,0,0,0,0
8,VIP24,5,13,13,44309,6,0,0,0,6,3584,0,0,0,0
8,VIP24,5,13,14,44309,28,0,0,0,28,16109,0,0,0,0
8,VIP24,5,14,14,44309,6,0,0,0,6,3584,0,0,0,0
8,VIP24,5,15,15,44309,5,0,0,0,5,3430,0,0,0,0
8,VIP24,5,15,16,44309,30,0,0,0,30,16418,0,0,0,0
8,VIP24,5,16,16,44309,5,0,0,0,5,3430,0,0,0,0
8,VIP25,5,3,3,44309,2,0,0,0,2,1555,0,0,0,0
8,VIP25,5,3,4,44309,36,0,0,0,36,20168,0,0,0,0
8,VIP25,5,4,4,44309,2,0,0,0,2,1555,0,0,0,0
8,VIP25,5,13,15,44309,3,0,0,0,3,2592,0,0,0,0
