level_0,index,section_name,row_name,seat,center_distance,angle,prediction,normalized,seat_score
7002,1449,126,7,7,140.99,0.6551,125.4707317,-1.002775601,0.027006902
7003,577,106,7,2,140.99,0.6551,125.4707317,-1.002775601,0.027006902
7001,2136,16,16,8,122.63,0.0113,125.4843902,-1.002658836,0.027024437
7000,2122,16,16,11,122.62,0.0113,125.487561,-1.00263173,0.027028508
6999,2065,16,12,9,110.86,0.0041,125.6236585,-1.001468248,0.027203233
6998,2049,16,12,10,110.86,0.0041,125.6236585,-1.001468248,0.027203233
6996,2460,17,20,1,136.16,0.0793,125.7307317,-1.000552893,0.027340696
6997,1941,15,20,19,136.16,0.0793,125.7307317,-1.000552893,0.027340696
6995,2153,16,17,7,125.63,0.0186,125.7646341,-1.000263066,0.02738422
6994,2141,16,17,12,125.62,0.0186,125.7697561,-1.000219279,0.027390796
6993,2310,16WC,19W,2,134.06,0.0322,126.0023077,-0.998231224,0.027689351
6992,2308,16WC,19W,11,134.03,0.0322,126.0364103,-0.997939685,0.027733132
6991,1448,126,7,6,140.14,0.6609,126.197561,-0.996562028,0.027940021
6990,578,106,7,3,140.13,0.6609,126.2295122,-0.996288881,0.027981041
6988,2118,16,15,8,119.68,0.0116,126.2504878,-0.996109563,0.02800797
6989,2104,16,15,11,119.68,0.0116,126.2504878,-0.996109563,0.02800797
6987,2158,16,18,11,128.51,0.0037,126.2871795,-0.99579589,0.028055075
6986,2157,16,18,10,128.51,0.0037,126.2871795,-0.99579589,0.028055075
6985,2172,16,18,6,128.72,0.0328,126.3602439,-0.995171272,0.028148877
6984,2162,16,18,15,128.7,0.0328,126.3760976,-0.995035741,0.02816923
6982,2468,17,20,2,136.4,0.0863,126.4563415,-0.994349746,0.028272249
6983,1940,15,20,18,136.4,0.0863,126.4563415,-0.994349746,0.028272249
6980,2031,16,11,10,107.94,0.0041,126.4663415,-0.994264257,0.028285087
6981,2047,16,11,9,107.94,0.0041,126.4663415,-0.994264257,0.028285087
6979,1210,122,9,8,141.86,0.7006,126.7256098,-0.992047805,0.028617941
6978,929,110,9,1,141.85,0.7006,126.7507317,-0.99183304,0.028650193
6977,2100,16,14,8,116.75,0.0118,126.8068293,-0.991353469,0.028722213
6976,2086,16,14,11,116.74,0.0118,126.8087805,-0.991336788,0.028724718
6975,2135,16,16,7,122.68,0.0189,127.0212195,-0.989520673,0.028997451
6974,2123,16,16,12,122.67,0.0189,127.0239024,-0.989497737,0.029000896
6973,2152,16,17,6,125.71,0.0259,127.0578049,-0.98920791,0.029044421
6972,2142,16,17,13,125.7,0.0259,127.0626829,-0.989166208,0.029050683
6970,579,106,7,4,139.29,0.6668,127.1031707,-0.988820083,0.029102662
6971,1447,126,7,5,139.29,0.6668,127.1031707,-0.988820083,0.029102662
6968,1939,15,20,17,136.67,0.0932,127.125122,-0.988632424,0.029130844
6969,2469,17,20,3,136.67,0.0932,127.125122,-0.988632424,0.029130844
6967,2082,16,13,8,113.82,0.012,127.3582927,-0.986639077,0.029430193
6966,2068,16,13,11,113.81,0.012,127.3602439,-0.986622396,0.029432698
6965,2171,16,18,5,128.82,0.04,127.465122,-0.985725807,0.029567343
6964,2163,16,18,16,128.8,0.04,127.48,-0.985598616,0.029586444
6962,2470,17,20,4,136.95,0.1001,127.7795122,-0.983038124,0.029970964
6963,1938,15,20,16,136.95,0.1001,127.7795122,-0.983038124,0.029970964
6961,2013,16,10,10,105.02,0.0042,127.9363415,-0.98169741,0.030172304
6960,2029,16,10,9,105.02,0.0042,127.9363415,-0.98169741,0.030172304
6959,2117,16,15,7,119.74,0.0192,127.9421951,-0.981647368,0.03017982
6958,2105,16,15,12,119.73,0.0192,127.944878,-0.981624432,0.030183264
6957,2064,16,12,8,110.89,0.0122,128.095122,-0.980340015,0.03037615
6956,2050,16,12,11,110.88,0.0122,128.0985366,-0.980310824,0.030380534
6954,580,106,7,5,138.46,0.6728,128.1295122,-0.980046017,0.030420301
6955,1446,126,7,4,138.46,0.6728,128.1295122,-0.980046017,0.030420301
6953,2151,16,17,5,125.81,0.0333,128.3265854,-0.978361263,0.030673308
6952,2143,16,17,14,125.79,0.0333,128.3387805,-0.978257009,0.030688964
6951,2471,17,20,5,137.26,0.1069,128.3780488,-0.977921309,0.030739378
6950,1937,15,20,15,137.25,0.1069,128.3904878,-0.977814969,0.030755347
6949,2134,16,16,6,122.76,0.0263,128.465122,-0.977176931,0.030851164
6948,2124,16,16,13,122.75,0.0263,128.4690244,-0.97714357,0.030856174
6947,2170,16,18,4,128.94,0.0472,128.5321951,-0.976603531,0.030937274
6946,2164,16,18,17,128.92,0.0472,128.5478049,-0.976470085,0.030957314
6945,2099,16,14,7,116.8,0.0196,128.7204878,-0.97499384,0.031179008
6944,2087,16,14,12,116.79,0.0196,128.7231707,-0.974970904,0.031182453
6943,2472,17,20,6,137.58,0.1138,128.977561,-0.972796154,0.031509044
6942,1936,15,20,14,137.57,0.1138,128.9907317,-0.972683559,0.031525953
6941,2046,16,11,8,107.97,0.0124,129.2187805,-0.970733998,0.031818727
6940,2032,16,11,11,107.96,0.0124,129.2231707,-0.970696466,0.031824363
6939,1445,126,7,3,137.66,0.6788,129.2665854,-0.97032532,0.0318801
6938,581,106,7,6,137.65,0.6788,129.3060976,-0.969987535,0.031930826
6937,1919,15,19,17,133.23,0.0807,129.4807317,-0.96849461,0.032155025
6936,2081,16,13,7,113.87,0.0199,129.4846341,-0.968461248,0.032160036
6935,2069,16,13,12,113.86,0.0199,129.4865854,-0.968444567,0.032162541
6934,2150,16,17,4,125.94,0.0407,129.5458537,-0.96793789,0.03223863
6933,2473,17,20,7,137.91,0.1206,129.5512195,-0.967892018,0.032245519
6932,1935,15,20,13,137.91,0.1206,129.5512195,-0.967892018,0.032245519
6931,2144,16,17,15,125.92,0.0407,129.557561,-0.967837806,0.032253661
6930,2169,16,18,3,129.08,0.0544,129.5609756,-0.967808614,0.032258044
6929,2165,16,18,18,129.06,0.0544,129.5770732,-0.967670998,0.032278711
6928,2116,16,15,6,119.82,0.0269,129.6002439,-0.967472915,0.032308458
6927,2106,16,15,13,119.81,0.0269,129.6039024,-0.967441638,0.032313155
6926,2423,17,18,1,133.24,0.0821,129.6734146,-0.966847387,0.032402396
6925,2133,16,16,5,122.87,0.0339,129.8956098,-0.964947869,0.032687655
6924,2125,16,16,14,122.85,0.0339,129.9043902,-0.964872805,0.032698927
6922,1934,15,20,12,138.26,0.1273,130.087561,-0.963306902,0.032934086
6923,2474,17,20,8,138.26,0.1273,130.087561,-0.963306902,0.032934086
6921,1918,15,19,16,133.5,0.0878,130.2090244,-0.962268526,0.033090023
6920,2263,16,9,9,102.11,0.0043,130.2280488,-0.962105889,0.033114447
6919,2247,16,9,10,102.11,0.0043,130.2280488,-0.962105889,0.033114447
6918,2431,17,18,2,133.53,0.0892,130.3778049,-0.960825643,0.033306707
6917,2063,16,12,7,110.95,0.0203,130.4685366,-0.960049989,0.03342319
6916,2051,16,12,12,110.94,0.0203,130.4717073,-0.960022882,0.033427261
6915,2098,16,14,6,116.89,0.0273,130.5382927,-0.959453652,0.033512745
6914,2088,16,14,13,116.87,0.0273,130.5441463,-0.95940361,0.03352026
6913,1444,126,7,2,136.87,0.6849,130.5621951,-0.959249313,0.033543431
6912,2167,16,18,2,129.24,0.0617,130.5641463,-0.959232633,0.033545936
6911,2166,16,18,19,129.21,0.0617,130.5897561,-0.959013698,0.033578815
6910,582,106,7,7,136.86,0.6849,130.6036585,-0.958894848,0.033596663
6908,2475,17,20,9,138.63,0.1341,130.6165854,-0.958784338,0.033613259
6909,1933,15,20,11,138.63,0.1341,130.6165854,-0.958784338,0.033613259
6907,2149,16,17,3,126.1,0.0481,130.7107317,-0.957979493,0.033734126
6906,2145,16,17,16,126.07,0.0481,130.7302439,-0.957812685,0.033759176
6905,1917,15,19,15,133.79,0.0948,130.8887805,-0.956457376,0.033962708
6904,2028,16,10,8,105.06,0.0127,130.9741463,-0.955727594,0.034072303
6903,2014,16,10,11,105.05,0.0127,130.9804878,-0.955673381,0.034080444
6902,2432,17,18,3,133.85,0.0963,131.0353659,-0.955204236,0.034150898
6901,2461,17,20,10,139.02,0.1408,131.1121951,-0.954547432,0.034249533
6900,1932,15,20,10,139.01,0.1408,131.124878,-0.954439007,0.034265816
6899,2115,16,15,5,119.93,0.0346,131.1917073,-0.953867692,0.034351612
6898,2107,16,15,14,119.91,0.0346,131.1992683,-0.953803054,0.034361319
6897,2132,16,16,4,123,0.0414,131.2521951,-0.953350589,0.034429268
6896,2126,16,16,15,122.98,0.0414,131.2626829,-0.95326093,0.034442732
6895,2156,16,18,1,129.42,0.0689,131.5117073,-0.951132052,0.034762435
6894,1916,15,19,14,134.11,0.1018,131.5231707,-0.951034052,0.034777152
6893,2168,16,18,20,129.38,0.0689,131.5463415,-0.950835969,0.034806899
6892,2080,16,13,6,113.96,0.0279,131.5473171,-0.950827628,0.034808152
6891,2070,16,13,13,113.94,0.0279,131.5529268,-0.950779671,0.034815354
6889,2462,17,20,11,139.41,0.1476,131.6302439,-0.950118697,0.034914615
6890,1947,15,20,9,139.41,0.1476,131.6302439,-0.950118697,0.034914615
6888,2433,17,18,4,134.19,0.1034,131.6592683,-0.949870571,0.034951877
